week,date_range_start,cdi
4,2020-01-20 00:00:00-05:00,-46097.128703752824
5,2020-01-27 00:00:00-05:00,-27924.587495847838
6,2020-02-03 00:00:00-05:00,19798.79729435651
7,2020-02-10 00:00:00-05:00,26730.789974535
8,2020-02-17 00:00:00-05:00,6089.153903651808
9,2020-02-24 00:00:00-05:00,-34540.7632894344
10,2020-03-02 00:00:00-05:00,-51695.03707117689
11,2020-03-09 00:00:00-04:00,-94227.35490947615
12,2020-03-16 00:00:00-04:00,-140496.8590879778
13,2020-03-23 00:00:00-04:00,-196533.17137054002
14,2020-03-30 00:00:00-04:00,-243068.04417431122
15,2020-04-06 00:00:00-04:00,-275018.7224345634
16,2020-04-13 00:00:00-04:00,-282513.7761152024
17,2020-04-20 00:00:00-04:00,-282621.79367306526
18,2020-04-27 00:00:00-04:00,-279489.16895311826
19,2020-05-04 00:00:00-04:00,-272848.3506234644
20,2020-05-11 00:00:00-04:00,-269206.51249210816
21,2020-05-18 00:00:00-04:00,-258613.48754444733
22,2020-05-25 00:00:00-04:00,-251519.96158674965
23,2020-06-01 00:00:00-04:00,-245363.68802195025
24,2020-06-08 00:00:00-04:00,-230130.3198973547
25,2020-06-15 00:00:00-04:00,-226376.1529463444
26,2020-06-22 00:00:00-04:00,-218858.18819239305
27,2020-06-29 00:00:00-04:00,-212312.9020012545
28,2020-07-06 00:00:00-04:00,-209249.66662630267
29,2020-07-13 00:00:00-04:00,-203227.24545777906
30,2020-07-20 00:00:00-04:00,-194231.24653643213
31,2020-07-27 00:00:00-04:00,-192370.33455081645
32,2020-08-03 00:00:00-04:00,-188860.9112804489
33,2020-08-10 00:00:00-04:00,-192612.45133977034
34,2020-08-17 00:00:00-04:00,-195639.24214880326
35,2020-08-24 00:00:00-04:00,-199946.36911501197
36,2020-08-31 00:00:00-04:00,-199841.65607731338
37,2020-09-07 00:00:00-04:00,-200137.007863624
38,2020-09-14 00:00:00-04:00,-203089.2468361665
39,2020-09-21 00:00:00-04:00,-199511.49818501587
40,2020-09-28 00:00:00-04:00,-197019.9731774871
41,2020-10-05 00:00:00-04:00,-192097.25795084762
42,2020-10-12 00:00:00-04:00,-180842.04597816512
43,2020-10-19 00:00:00-04:00,-180966.94467996422
44,2020-10-26 00:00:00-04:00,-181288.76403148114
45,2020-11-02 00:00:00-05:00,-180608.37919925974
46,2020-11-09 00:00:00-05:00,-184194.28985688946
47,2020-11-16 00:00:00-05:00,-187012.90454953973
48,2020-11-23 00:00:00-05:00,-192301.10763170497
49,2020-11-30 00:00:00-05:00,-200209.98915074964
52,2020-12-21 00:00:00-05:00,-242442.99328935466
